CaseFolding,Tokenizing
aplikasi shopee aku kok gak bisa gunain gratis ongkir rupiah ya  yang banyak vocer nya malah shopee pay yang gratis ongkir rupiah nya aku gak pernah pakek shopee pay soal nya,"['aplikasi', 'shopee', 'aku', 'kok', 'gak', 'bisa', 'gunain', 'gratis', 'ongkir', 'rupiah', 'ya', 'yang', 'banyak', 'vocer', 'nya', 'malah', 'shopee', 'pay', 'yang', 'gratis', 'ongkir', 'rupiah', 'nya', 'aku', 'gak', 'pernah', 'pakek', 'shopee', 'pay', 'soal', 'nya']"
menyebalkan vocer penguna baru tidak bisa di pakek  katanya udh di pakek pdhl saya penguna baru terus yang pakek vocer saya siapa,"['menyebalkan', 'vocer', 'penguna', 'baru', 'tidak', 'bisa', 'di', 'pakek', 'katanya', 'udh', 'di', 'pakek', 'pdhl', 'saya', 'penguna', 'baru', 'terus', 'yang', 'pakek', 'vocer', 'saya', 'siapa']"
saya sebagai penjual kecewa  penarikan saldo melalui bank lain selain bank tertentu lama lebih dari satu hari  padahal teknologi udah canggih  yang bermasalah bukan bank nya tapi sistem di shopeenya karena transfer ke bank manapun sekarang seharusnya realtime  tergantung shopeenya mau proses atau tidak,"['saya', 'sebagai', 'penjual', 'kecewa', 'penarikan', 'saldo', 'melalui', 'bank', 'lain', 'selain', 'bank', 'tertentu', 'lama', 'lebih', 'dari', 'satu', 'hari', 'padahal', 'teknologi', 'udah', 'canggih', 'yang', 'bermasalah', 'bukan', 'bank', 'nya', 'tapi', 'sistem', 'di', 'shopeenya', 'karena', 'transfer', 'ke', 'bank', 'manapun', 'sekarang', 'seharusnya', 'realtime', 'tergantung', 'shopeenya', 'mau', 'proses', 'atau', 'tidak']"
aplukasi apa sih ini disuruh buat nama uda gue tulis nama tapi katanya tidak tersedi aplikasi tolol mendingan kalian lebih baik nggak usa donwlod aja mendingan nggak usa ada di plastore [plis bapak plastore uinstal aja aplikasi ini],"['aplukasi', 'apa', 'sih', 'ini', 'disuruh', 'buat', 'nama', 'uda', 'gue', 'tulis', 'nama', 'tapi', 'katanya', 'tidak', 'tersedi', 'aplikasi', 'tolol', 'mendingan', 'kalian', 'lebih', 'baik', 'nggak', 'usa', 'donwlod', 'aja', 'mendingan', 'nggak', 'usa', 'ada', 'di', 'plastore', '[', 'plis', 'bapak', 'plastore', 'uinstal', 'aja', 'aplikasi', 'ini', ']']"
makin kesini shoppe makin gak jelas  apaan kabanyakan limit  baru belanja kali udh kena limit harian limit mingguan,"['makin', 'kesini', 'shoppe', 'makin', 'gak', 'jelas', 'apaan', 'kabanyakan', 'limit', 'baru', 'belanja', 'kali', 'udh', 'kena', 'limit', 'harian', 'limit', 'mingguan']"
shopee sangat memgecewakan voucher jambore nya sering error padahal produk sudah memenuhi syarat apa lagi hey kecewa bet  katanya  rp terus mau check out malah voucher tidak sah aneh bet,"['shopee', 'sangat', 'memgecewakan', 'voucher', 'jambore', 'nya', 'sering', 'error', 'padahal', 'produk', 'sudah', 'memenuhi', 'syarat', 'apa', 'lagi', 'hey', 'kecewa', 'bet', 'katanya', 'rp', 'terus', 'mau', 'check', 'out', 'malah', 'voucher', 'tidak', 'sah', 'aneh', 'bet']"
aplikasi guna bisa ngakses nomor  padahal nomor aku masih aktif nomor sehari  aku pake  tapi di kirim  kode otp  makassih sangat kecewa sma pihak shoppy,"['aplikasi', 'guna', 'bisa', 'ngakses', 'nomor', 'padahal', 'nomor', 'aku', 'masih', 'aktif', 'nomor', 'sehari', 'aku', 'pake', 'tapi', 'di', 'kirim', 'kode', 'otp', 'makassih', 'sangat', 'kecewa', 'sma', 'pihak', 'shoppy']"
saya gamau ganti bintang kecuali shopee udah kayak dulu tau gak sih shopee makin pelit gratis ongkir seminggu cuman  kali woy kelen becanda dah gitu sekarang shopee ga bisa milih ekpedisi  saya pilih reguler biar cepat sampe saya bayar ongkir biar cepat sampe  malah dikasih kepedisi yg paling lama  permainan kelen ga cantik sayang  mentang  ekpedisi itu yg paling murah itu yg kelen kasih heh lawak shopee,"['saya', 'gamau', 'ganti', 'bintang', 'kecuali', 'shopee', 'udah', 'kayak', 'dulu', 'tau', 'gak', 'sih', 'shopee', 'makin', 'pelit', 'gratis', 'ongkir', 'seminggu', 'cuman', 'kali', 'woy', 'kelen', 'becanda', 'dah', 'gitu', 'sekarang', 'shopee', 'ga', 'bisa', 'milih', 'ekpedisi', 'saya', 'pilih', 'reguler', 'biar', 'cepat', 'sampe', 'saya', 'bayar', 'ongkir', 'biar', 'cepat', 'sampe', 'malah', 'dikasih', 'kepedisi', 'yg', 'paling', 'lama', 'permainan', 'kelen', 'ga', 'cantik', 'sayang', 'mentang', 'ekpedisi', 'itu', 'yg', 'paling', 'murah', 'itu', 'yg', 'kelen', 'kasih', 'heh', 'lawak', 'shopee']"
sumpah shopee makin lama makin gila karena saya itu habis beli hp baru terus saya bikin akun gogel baru dan no hp baru saya daftar shopee untuk beli baju batik sama cela jeans untuk adik sya waktu saya cecaout maaf kode voucher ini telah di gunakan mohon pakai voucer lain lah sya kan bingung apa ini kok harus pakai ongkir sih padahal kan sya pengguna baru hadeh shopee shopee duit mulu pikiran lu akhir nya terpaksa pakai ongkir mahal lagi ongkirnya sekitarran  rb kimak kau shopee,"['sumpah', 'shopee', 'makin', 'lama', 'makin', 'gila', 'karena', 'saya', 'itu', 'habis', 'beli', 'hp', 'baru', 'terus', 'saya', 'bikin', 'akun', 'gogel', 'baru', 'dan', 'no', 'hp', 'baru', 'saya', 'daftar', 'shopee', 'untuk', 'beli', 'baju', 'batik', 'sama', 'cela', 'jeans', 'untuk', 'adik', 'sya', 'waktu', 'saya', 'cecaout', 'maaf', 'kode', 'voucher', 'ini', 'telah', 'di', 'gunakan', 'mohon', 'pakai', 'voucer', 'lain', 'lah', 'sya', 'kan', 'bingung', 'apa', 'ini', 'kok', 'harus', 'pakai', 'ongkir', 'sih', 'padahal', 'kan', 'sya', 'pengguna', 'baru', 'hadeh', 'shopee', 'shopee', 'duit', 'mulu', 'pikiran', 'lu', 'akhir', 'nya', 'terpaksa', 'pakai', 'ongkir', 'mahal', 'lagi', 'ongkirnya', 'sekitarran', 'rb', 'kimak', 'kau', 'shopee']"
aplikasi penipu  bilangnya baru pertama kali download dapat saldo shopeepay ehh tau taunya gak ada dasar aplikasi penipu,"['aplikasi', 'penipu', 'bilangnya', 'baru', 'pertama', 'kali', 'download', 'dapat', 'saldo', 'shopeepay', 'ehh', 'tau', 'taunya', 'gak', 'ada', 'dasar', 'aplikasi', 'penipu']"
capee pake shopee lemot banget padahal apk lain ga lemot saya kira hp saya atau jaringannya yang lemot tp pas keluar dri shopee lancar banget kecewa tolong diperbaiki shopee ga seperti dlu lagi,"['capee', 'pake', 'shopee', 'lemot', 'banget', 'padahal', 'apk', 'lain', 'ga', 'lemot', 'saya', 'kira', 'hp', 'saya', 'atau', 'jaringannya', 'yang', 'lemot', 'tp', 'pas', 'keluar', 'dri', 'shopee', 'lancar', 'banget', 'kecewa', 'tolong', 'diperbaiki', 'shopee', 'ga', 'seperti', 'dlu', 'lagi']"
apk nya sih baguuss tapi keamanan privasinya kurang barusan akun saya dihack  setelah itu diberi tahu kalo saya menang uang dan harus isi saldo sampe nelpon nelpon berapa kali emang di apknya ada pemberitahuan nya saya menang uang  jt tapi saldo saya malah kesedot samper akun saya logout sendiri,"['apk', 'nya', 'sih', 'baguuss', 'tapi', 'keamanan', 'privasinya', 'kurang', 'barusan', 'akun', 'saya', 'dihack', 'setelah', 'itu', 'diberi', 'tahu', 'kalo', 'saya', 'menang', 'uang', 'dan', 'harus', 'isi', 'saldo', 'sampe', 'nelpon', 'nelpon', 'berapa', 'kali', 'emang', 'di', 'apknya', 'ada', 'pemberitahuan', 'nya', 'saya', 'menang', 'uang', 'jt', 'tapi', 'saldo', 'saya', 'malah', 'kesedot', 'samper', 'akun', 'saya', 'logout', 'sendiri']"
